GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
11,Home,2.8,2.6,0.9,0.3,0.5,0.5,Dominick Barlow,
34,Road,28.9,4.2,4.2,1.2,0.2,2.7,Donovan Mitchell,
34,Home,27.6,4.3,4.6,1.7,0.6,2.6,Donovan Mitchell,
68,ALL,28.3,4.3,4.4,1.5,0.4,2.6,Donovan Mitchell,CLE
2,ALL,2,1,0,0,0,0,Donovan Williams,ATL
72,ALL,9.4,4.5,3.5,1.3,0.1,1.6,Donte DiVincenzo,GSW
33,Road,10.2,4.9,3.8,1.6,0.2,1.6,Donte DiVincenzo,
39,Home,8.7,4.2,3.3,1.2,0.1,1.5,Donte DiVincenzo,
29,Road,8.8,4.6,1.7,1.1,0.4,1.1,Dorian Finney-Smith,
66,ALL,8.3,4.8,1.5,0.8,0.5,0.9,Dorian Finney-Smith,TOT
37,Home,8,4.9,1.4,0.6,0.6,0.8,Dorian Finney-Smith,
33,Road,10,2,1.3,0.2,0.1,0.9,Doug McDermott,
31,Home,10.5,2.3,1.5,0.2,0.1,0.9,Doug McDermott,
64,ALL,10.2,2.2,1.4,0.2,0.1,0.9,Doug McDermott,SAS
34,Road,9.1,6.5,6.6,1.1,0.6,2.9,Draymond Green,
73,ALL,8.5,7.2,6.8,1,0.8,2.8,Draymond Green,GSW
39,Home,7.9,7.8,7.1,0.9,1,2.7,Draymond Green,
38,Road,6.6,5.3,1.3,0.4,1.2,0.8,Drew Eubanks,
40,Home,6.7,5.4,1.3,0.6,1.4,0.9,Drew Eubanks,
78,ALL,6.6,5.4,1.3,0.5,1.3,0.9,Drew Eubanks,POR
7,Road,4,1.1,1.1,0.4,0.3,0,Dru Smith,
15,ALL,2.9,1.6,1.5,0.7,0.3,0.2,Dru Smith,TOT
8,Home,2,2,1.8,0.9,0.2,0.4,Dru Smith,
14,Road,9.2,1.2,2.2,0.3,0.3,1.3,Duane Washington Jr.,
31,ALL,7.9,1.2,2,0.2,0.1,1.1,Duane Washington Jr.,PHO
17,Home,6.8,1.1,1.9,0.1,0,0.9,Duane Washington Jr.,
21,Road,5.1,1.5,1.1,0.5,0,0.8,Duncan Robinson,
21,Home,7.7,1.8,1.1,0.1,0,0.5,Duncan Robinson,
42,ALL,6.4,1.6,1.1,0.3,0,0.7,Duncan Robinson,MIA
36,Road,7,4.3,0.9,0.6,0.4,1,Dwight Powell,
40,Home,6.4,4,0.9,0.6,0.3,0.8,Dwight Powell,
76,ALL,6.7,4.1,0.9,0.6,0.3,0.9,Dwight Powell,DAL
3,ALL,1.7,0,0.3,0.3,0,0.3,Dylan Windler,CLE
2,Home,1.5,0,0,0,0,0,Dylan Windler,
1,Road,2,0,1,1,0,1,Dylan Windler,
59,ALL,3.8,3.2,2.3,0.7,0.2,1,Dyson Daniels,NOP
30,Home,4.3,3.5,2.3,0.8,0.2,0.9,Dyson Daniels,
29,Road,3.3,2.9,2.2,0.6,0.2,1,Dyson Daniels,
53,ALL,7.1,1.5,1.3,0.6,0.2,0.9,Edmond Sumner,BRK
39,Home,11.6,2.1,2.5,0.6,0.4,1.7,Eric Gordon,
69,ALL,12.4,1.9,2.7,0.6,0.4,1.5,Eric Gordon,TOT
30,Road,13.4,1.7,2.8,0.6,0.3,1.2,Eric Gordon,
23,Home,7.8,2.6,0.7,0.8,0,0.8,Eugene Omoruyi,
17,Road,5.8,3,0.8,0.5,0.1,0.9,Eugene Omoruyi,
40,ALL,7,2.8,0.7,0.7,0.1,0.9,Eugene Omoruyi,TOT
27,ALL,6.1,1.8,1.3,0.6,0.1,0.8,Evan Fournier,NYK
15,Home,5,1.5,1.3,0.4,0.1,0.8,Evan Fournier,
12,Road,7.5,2.2,1.4,0.8,0.2,0.8,Evan Fournier,
40,Home,15.6,9.2,3,0.6,1.4,2,Evan Mobley,
39,Road,16.7,8.8,2.7,0.9,1.7,1.7,Evan Mobley,
79,ALL,16.2,9,2.8,0.8,1.5,1.8,Evan Mobley,CLE
8,ALL,1.3,0.3,1.1,0.8,0,0.4,Facundo Campazzo,DAL
1,ALL,0,2,1,0,0,0,Frank Jackson,UTA
36,ALL,2.5,1.4,0.9,0.2,0.1,0.3,Frank Kaminsky,TOT
47,ALL,2.9,1.3,1.2,0.3,0.1,0.6,Frank Ntilikina,DAL
22,Home,2.8,1,1.2,0.4,0.2,0.5,Frank Ntilikina,
25,Road,3,1.6,1.3,0.3,0.1,0.8,Frank Ntilikina,
39,Home,19.8,4.2,4.2,0.9,0.2,1.9,Franz Wagner,
41,Road,17.4,4.1,2.9,1,0.2,2.3,Franz Wagner,
80,ALL,18.6,4.1,3.5,1,0.2,2.1,Franz Wagner,ORL
35,Road,18.8,4,7.5,1.8,0.7,2,Fred VanVleet,
69,ALL,19.3,4.1,7.2,1.8,0.6,2,Fred VanVleet,TOR
34,Home,19.9,4.1,6.8,1.7,0.4,2,Fred VanVleet,
14,Home,3.3,1.4,0.6,0.3,0.1,0.5,Furkan Korkmaz,
23,Road,4.1,1,0.6,0.3,0.1,0.7,Furkan Korkmaz,
37,ALL,3.8,1.1,0.6,0.3,0.1,0.6,Furkan Korkmaz,PHI
33,Road,8.8,2.1,2.4,0.8,0,0.9,Gabe Vincent,
35,Home,10,2.2,2.5,1,0.1,1.7,Gabe Vincent,
68,ALL,9.4,2.1,2.5,0.9,0.1,1.4,Gabe Vincent,MIA
3,ALL,8,2,1.7,0.7,0,0,Gabe York,IND
11,Road,2.8,0.7,0.5,0.5,0.2,0.1,Garrett Temple,
14,Home,1.4,0.6,0.5,0.3,0,0.2,Garrett Temple,
25,ALL,2,0.7,0.5,0.4,0.1,0.2,Garrett Temple,NOP
26,Road,5.5,1.3,0.7,0.5,0.1,0.5,Garrison Mathews,
28,Home,4,1.4,0.3,0.4,0.1,0.2,Garrison Mathews,
54,ALL,4.8,1.4,0.5,0.4,0.1,0.4,Garrison Mathews,TOT
26,Road,7.2,2,1.2,0.8,0.3,0.6,Gary Harris,
22,Home,9.5,2.1,1.3,1.1,0.2,0.5,Gary Harris,
48,ALL,8.3,2,1.2,0.9,0.3,0.6,Gary Harris,ORL
22,ALL,4.6,3.1,1.4,1,0.2,0.7,Gary Payton II,TOT
6,Road,4.2,4.2,1.2,1,0.5,0.8,Gary Payton II,
16,Home,4.8,2.8,1.4,1,0.1,0.7,Gary Payton II,
34,Road,16.5,2.4,1.5,1.3,0.1,0.7,Gary Trent Jr.,
32,Home,18.3,2.8,1.8,1.9,0.3,1,Gary Trent Jr.,
66,ALL,17.4,2.6,1.6,1.6,0.2,0.8,Gary Trent Jr.,TOR
46,ALL,5,1.8,2.4,0.6,0.1,0.7,George Hill,TOT
38,Road,8.2,2.4,1.1,0.2,0.1,0.7,Georges Niang,
40,Home,8.2,2.3,0.8,0.6,0.2,0.7,Georges Niang,
78,ALL,8.2,2.4,1,0.4,0.2,0.7,Georges Niang,PHI
63,ALL,31.1,11.8,5.7,0.8,0.8,3.9,Giannis Antetokounmpo,MIL
31,Road,29.1,12.2,6.3,0.9,0.8,4.1,Giannis Antetokounmpo,
32,Home,33,11.4,5.1,0.8,0.8,3.8,Giannis Antetokounmpo,
17,Home,5.4,4.1,1.2,0.4,0.7,0.6,Goga Bitadze,
21,Road,3.6,3.2,0.9,0.5,0.7,0.5,Goga Bitadze,
38,ALL,4.4,3.6,1,0.4,0.7,0.6,Goga Bitadze,TOT
58,ALL,6.3,1.4,2.6,0.2,0.1,1.1,Goran Dragic,TOT
26,Road,14.3,5.3,3.9,0.7,0.3,1.9,Gordon Hayward,
24,Home,15.1,3.2,4.3,1,0.2,2,Gordon Hayward,
50,ALL,14.7,4.3,4.1,0.8,0.2,2,Gordon Hayward,CHO
31,ALL,3.9,3.5,1.7,0.1,0.5,1,Gorgui Dieng,SAS
39,Home,7.5,4.5,1.8,0.5,0.4,0.8,Grant Williams,
79,ALL,8.1,4.6,1.7,0.5,0.4,1,Grant Williams,BOS
40,Road,8.7,4.6,1.5,0.5,0.4,1.2,Grant Williams,
72,ALL,10.4,3.3,2.3,0.9,0.2,1,Grayson Allen,MIL
37,Home,11.1,3.5,2.2,1,0.1,0.8,Grayson Allen,
35,Road,9.7,3,2.3,0.7,0.3,1.2,Grayson Allen,
6,Road,1.7,1.7,0,0.5,0.7,0.7,Greg Brown III,
10,Home,1.8,0.9,0.3,0.1,0.1,0.2,Greg Brown III,
16,ALL,1.8,1.2,0.2,0.3,0.3,0.4,Greg Brown III,POR
56,ALL,9.3,3.5,1,0.9,0.3,1.3,Hamidou Diallo,DET
41,Home,15.8,4.2,1.7,0.8,0.1,0.9,Harrison Barnes,
82,ALL,15,4.5,1.6,0.7,0.1,1,Harrison Barnes,SAC
41,Road,14.2,4.7,1.5,0.6,0.1,1.2,Harrison Barnes,
54,ALL,4.4,3.5,0.8,0.7,0.3,0.8,Haywood Highsmith,MIA
28,Road,4.7,3.8,0.7,0.8,0.3,0.8,Haywood Highsmith,
26,Home,4,3.2,0.9,0.6,0.3,0.9,Haywood Highsmith,
66,ALL,9.8,4.1,2.5,1.6,0.6,1.3,Herbert Jones,NOP
32,Home,10,4.1,2.1,1.3,0.8,1.5,Herbert Jones,
34,Road,9.7,4.1,2.8,1.8,0.5,1.1,Herbert Jones,
81,ALL,14.9,4.2,3.4,1,0.2,1.2,Immanuel Quickley,NYK
41,Home,15,4.3,3.2,0.8,0.2,1.3,Immanuel Quickley,
40,Road,14.8,4,3.7,1.2,0.2,1.2,Immanuel Quickley,
38,Road,6.7,2.6,1.1,0.7,0.3,0.6,Isaac Okoro,
38,Home,6.2,2.4,1.2,0.7,0.5,0.6,Isaac Okoro,
76,ALL,6.4,2.5,1.1,0.7,0.4,0.6,Isaac Okoro,CLE
41,Road,4.6,6.2,1.2,0.6,1,0.8,Isaiah Hartenstein,
82,ALL,5,6.5,1.2,0.6,0.8,0.8,Isaiah Hartenstein,NYK
41,Home,5.3,6.8,1.3,0.7,0.6,0.8,Isaiah Hartenstein,
34,Road,7.2,4.2,1,0.6,1.3,0.6,Isaiah Jackson,
29,Home,7.2,4.8,0.6,0.3,1.7,1,Isaiah Jackson,
63,ALL,7.2,4.5,0.8,0.5,1.5,0.8,Isaiah Jackson,IND
39,Home,9.7,1.9,1.2,0.5,0.1,0.5,Isaiah Joe,
34,Road,9.2,2.9,1.3,0.8,0.1,0.6,Isaiah Joe,
73,ALL,9.5,2.4,1.2,0.7,0.1,0.5,Isaiah Joe,OKC
52,ALL,6.7,2.8,0.8,0.5,0.5,0.6,Isaiah Livers,DET
24,Road,5.6,2.3,0.7,0.5,0.5,0.6,Isaiah Livers,
28,Home,7.6,3.1,0.9,0.6,0.5,0.5,Isaiah Livers,
8,Road,3.6,1.6,0.1,0.5,0.4,0.1,Isaiah Mobley,
13,ALL,2.4,1.5,0.2,0.3,0.2,0.1,Isaiah Mobley,CLE
4,Home,0.5,1.8,0.5,0,0,0,Isaiah Mobley,
42,ALL,4.1,2.5,0.9,0.4,0.2,0.7,Isaiah Roby,SAS
26,Home,11.3,8.2,1.4,0.5,0.7,1,Isaiah Stewart,
50,ALL,11.3,8.1,1.4,0.4,0.7,1.4,Isaiah Stewart,DET
24,Road,11.3,7.9,1.4,0.3,0.7,1.7,Isaiah Stewart,
6,ALL,1.5,2,0.7,0.2,0,0.3,Isaiah Todd,WAS
43,ALL,2.5,1.3,2.3,0.2,0.2,1,Ish Smith,DEN
21,Road,3.2,1.5,2.6,0.1,0.1,1.3,Ish Smith,
22,Home,1.8,1,2.1,0.2,0.2,0.8,Ish Smith,
60,ALL,4.2,2.3,0.9,0.6,0.4,0.4,Ish Wainright,PHO
29,Road,5,2.2,1,0.8,0.3,0.4,Ish Wainright,
31,Home,3.4,2.5,0.8,0.5,0.4,0.4,Ish Wainright,
38,Road,10.8,10.1,0.9,0.4,1.3,1.4,Ivica Zubac,
38,Home,10.7,9.8,1.1,0.4,1.2,1.7,Ivica Zubac,
76,ALL,10.8,9.9,1,0.4,1.3,1.5,Ivica Zubac,LAC
4,Road,0,0.2,0,0,0,0.2,JD Davison,
8,Home,2.4,1,1.4,0.2,0.2,0.4,JD Davison,
12,ALL,1.6,0.8,0.9,0.2,0.2,0.3,JD Davison,BOS
69,ALL,3.8,2.2,0.5,0.3,0.3,0.6,JT Thor,CHO
35,Road,3.7,2.2,0.6,0.3,0.4,0.7,JT Thor,
34,Home,3.9,2.2,0.4,0.3,0.3,0.5,JT Thor,
30,Road,25.3,5.2,8,0.9,0.2,3.6,Ja Morant,
31,Home,27,6.5,8.2,1.3,0.3,3.2,Ja Morant,
61,ALL,26.2,5.9,8.1,1.1,0.3,3.4,Ja Morant,MEM
57,ALL,6.4,3.6,0.9,0.4,0.4,0.9,JaMychal Green,GSW
17,Home,3.6,2,0.2,0.1,0.8,0.8,JaVale McGee,
25,Road,5,2.9,0.3,0.1,0.5,0.9,JaVale McGee,
42,ALL,4.4,2.5,0.3,0.1,0.6,0.9,JaVale McGee,DAL
79,ALL,12.8,7.2,1.3,0.5,0.9,1.3,Jabari Smith Jr.,HOU
39,Road,13.2,7.2,1.3,0.6,0.8,1.4,Jabari Smith Jr.,
40,Home,12.4,7.2,1.2,0.4,1,1.3,Jabari Smith Jr.,
56,ALL,3.9,2.3,0.6,0.2,0.2,0.5,Jabari Walker,POR
28,Home,4.4,1.9,0.6,0.1,0.2,0.4,Jabari Walker,
28,Road,3.3,2.8,0.6,0.2,0.2,0.6,Jabari Walker,
17,ALL,1.2,1,0.2,0.2,0.1,0.1,Jack White,DEN
1,ALL,3,4,7,3,0,2,Jacob Gilyard,MEM
1,Road,3,4,7,3,0,2,Jacob Gilyard,
21,Home,7.8,1.9,0.8,0.3,0.2,0.5,Jaden Hardy,
27,Road,9.5,1.9,1.8,0.4,0.1,1.3,Jaden Hardy,
48,ALL,8.8,1.9,1.4,0.4,0.1,1,Jaden Hardy,DAL
38,Road,15.6,3.5,4.6,0.8,0.1,3.2,Jaden Ivey,
74,ALL,16.3,3.9,5.2,0.8,0.2,3.2,Jaden Ivey,DET
36,Home,17,4.3,5.9,0.9,0.4,3.2,Jaden Ivey,
79,ALL,12.1,3.9,1.9,0.9,1,1.4,Jaden McDaniels,MIN
39,Home,11.9,4.2,2.2,0.7,1.1,1.5,Jaden McDaniels,
40,Road,12.2,3.6,1.6,1.2,0.8,1.3,Jaden McDaniels,
16,ALL,2.6,0.9,0.5,0.4,0.2,0.2,Jaden Springer,PHI
11,Road,2.8,0.7,0.5,0.4,0.1,0.2,Jaden Springer,
5,Home,2.2,1.2,0.4,0.6,0.4,0.2,Jaden Springer,
18,ALL,6.9,3.8,1.5,0.7,0.3,0.4,Jae Crowder,MIL
9,Home,6,3.2,1.2,0.7,0.6,0.4,Jae Crowder,
9,Road,7.8,4.4,1.8,0.7,0.1,0.3,Jae Crowder,
17,Home,9.2,4.2,2.6,0.6,0.3,1.5,Jae'Sean Tate,
14,Road,9.1,3.4,2.9,0.7,0.1,1.5,Jae'Sean Tate,
31,ALL,9.1,3.8,2.7,0.7,0.2,1.5,Jae'Sean Tate,HOU
35,ALL,3,1.8,0.6,0.3,0.1,0.5,Jake LaRavia,MEM
20,Home,1.8,1.5,0.4,0.3,0,0.2,Jake LaRavia,
15,Road,4.7,2.2,0.9,0.4,0.2,0.9,Jake LaRavia,
72,ALL,12.5,9.1,2.7,0.9,1.2,1.7,Jakob Poeltl,TOT
37,Home,12.1,9.5,3,1,1.4,1.9,Jakob Poeltl,
35,Road,12.9,8.6,2.5,0.8,0.9,1.5,Jakob Poeltl,
31,Road,23.5,3.7,6.3,1,0.3,2.1,Jalen Brunson,
68,ALL,24,3.5,6.2,0.9,0.2,2.1,Jalen Brunson,NYK
37,Home,24.5,3.4,6.1,0.8,0.2,2.1,Jalen Brunson,
67,ALL,9.1,8.9,1.1,0.7,0.9,1.4,Jalen Duren,DET
32,Home,10.4,9.5,1.4,0.8,1,1.5,Jalen Duren,
35,Road,8,8.3,0.9,0.5,0.7,1.3,Jalen Duren,
37,Road,19.9,3.3,3.5,0.7,0.3,2.5,Jalen Green,
39,Home,24.3,4.2,3.9,0.8,0.2,2.8,Jalen Green,
76,ALL,22.1,3.7,3.7,0.8,0.2,2.6,Jalen Green,HOU
34,Home,5.1,3.9,1.2,0.5,0.4,0.5,Jalen Johnson,
36,Road,6.2,4.2,1.2,0.6,0.5,0.7,Jalen Johnson,
70,ALL,5.6,4,1.2,0.5,0.5,0.6,Jalen Johnson,ATL
36,Home,8.6,4,1.6,0.9,0.4,0.9,Jalen McDaniels,
44,Road,10.1,4.6,1.6,1.2,0.5,1.4,Jalen McDaniels,
80,ALL,9.4,4.3,1.6,1,0.4,1.2,Jalen McDaniels,TOT
68,ALL,9.4,5.8,1,0.3,0.9,1.1,Jalen Smith,IND
35,Home,8.7,5.1,0.8,0.4,0.7,1.1,Jalen Smith,
33,Road,10.3,6.5,1.1,0.2,1.1,1,Jalen Smith,
27,Road,8.9,3.1,2.5,1.3,0.4,1.7,Jalen Suggs,
26,Home,11,3,3.3,1.2,0.6,1.8,Jalen Suggs,
53,ALL,9.9,3,2.9,1.3,0.5,1.8,Jalen Suggs,ORL
75,ALL,14.1,4.5,3.3,1.4,0.5,1.6,Jalen Williams,OKC
39,Road,12.5,4.3,3.2,1.3,0.4,1.6,Jalen Williams,
36,Home,15.8,4.7,3.4,1.4,0.5,1.7,Jalen Williams,
8,Home,7.2,4,0.8,1,0,0.6,Jamal Cain,
10,Road,4,2,0.6,0.3,0.1,0.1,Jamal Cain,
18,ALL,5.4,2.9,0.7,0.6,0.1,0.3,Jamal Cain,MIA
29,Road,19.1,3.9,5.9,1,0.2,2.3,Jamal Murray,
36,Home,20.7,4,6.4,1,0.3,2.2,Jamal Murray,
65,ALL,20,4,6.2,1,0.2,2.2,Jamal Murray,DEN
5,ALL,3,1.2,0.8,0.8,0.4,0.8,Jamaree Bouyea,TOT
34,ALL,5.6,2.1,1.2,0.4,0.1,0.9,James Bouknight,CHO
17,Home,5.9,2.1,1.4,0.4,0.2,1.2,James Bouknight,
17,Road,5.4,2.1,1.1,0.4,0.1,0.6,James Bouknight,
58,ALL,21,6.1,10.7,1.2,0.5,3.4,James Harden,PHI
25,Road,21.2,6.2,10.5,1.1,0.5,3.3,James Harden,
33,Home,20.8,6.1,10.8,1.3,0.6,3.4,James Harden,
18,ALL,2.8,1.7,0.8,0.4,0.3,0.4,James Johnson,IND
21,Home,11.6,6.8,0.9,0.1,0.6,1.2,James Wiseman,
24,Road,8.6,5.2,0.5,0.2,0.6,1,James Wiseman,
45,ALL,10,5.9,0.7,0.2,0.6,1.1,James Wiseman,TOT
3,Home,9.7,1.3,1.3,0.7,0,1,Jared Butler,
3,Road,2.7,0,1.3,1,0,0.7,Jared Butler,
6,ALL,6.2,0.7,1.3,0.8,0,0.8,Jared Butler,OKC
14,ALL,3.2,2.6,0.3,0.3,0.1,0.2,Jared Rhoden,DET
9,Road,4.3,3.2,0.4,0.4,0.1,0.2,Jared Rhoden,
5,Home,1.2,1.6,0,0,0,0.2,Jared Rhoden,
33,Home,18.5,7,1,1.2,3.6,1.5,Jaren Jackson Jr.,
30,Road,18.8,6.5,0.9,0.9,2.4,1.9,Jaren Jackson Jr.,
63,ALL,18.6,6.8,1,1,3,1.7,Jaren Jackson Jr.,MEM
78,ALL,7.9,7.5,2.4,1.1,0.3,1.2,Jarred Vanderbilt,TOT
37,Road,8.8,7.8,2.6,1.3,0.3,1.4,Jarred Vanderbilt,
41,Home,7.1,7.1,2.2,0.8,0.2,1.1,Jarred Vanderbilt,
4,ALL,5.5,1.5,0.8,0,0.5,0.5,Jarrell Brantley,UTA
68,ALL,14.3,9.8,1.7,0.8,1.2,1.4,Jarrett Allen,CLE
35,Home,14.7,10.2,1.5,0.9,1.1,1.7,Jarrett Allen,
33,Road,13.8,9.4,1.8,0.7,1.4,1.1,Jarrett Allen,
10,ALL,4.4,3.8,0.6,0.6,0.2,0.7,Jarrett Culver,ATL
14,ALL,2.9,1.6,1.9,0.1,0,0.7,Jason Preston,LAC
32,ALL,5.2,2.8,0.7,0.8,0.7,0.6,Javonte Green,CHI
47,ALL,5,2.8,0.7,0.4,0.4,0.7,Jaxson Hayes,NOP
25,Road,5.5,2.3,0.8,0.4,0.4,0.8,Jaxson Hayes,
22,Home,4.3,3.4,0.7,0.5,0.5,0.5,Jaxson Hayes,
2,Road,7,2,2.5,0.5,1.5,0.5,Jay Huff,
5,Home,7.4,3.4,1,0.4,0.2,0.8,Jay Huff,
7,ALL,7.3,3,1.4,0.4,0.6,0.7,Jay Huff,WAS
2,ALL,6.5,3,0.5,1,0,1.5,Jay Scrubb,ORL
67,ALL,26.6,6.9,3.5,1.1,0.4,2.9,Jaylen Brown,BOS
35,Home,26.7,6.8,3.3,1.1,0.3,3.2,Jaylen Brown,
32,Road,26.6,6.9,3.7,1.2,0.5,2.7,Jaylen Brown,
65,ALL,10.8,2.6,2,0.6,0.1,1,Jaylen Nowell,MIN
21,Home,6.2,6,1.7,0.6,0.3,0.9,Jaylin Williams,
49,ALL,5.9,4.9,1.6,0.6,0.2,0.8,Jaylin Williams,OKC
28,Road,5.6,4.1,1.5,0.5,0.2,0.7,Jaylin Williams,
36,Home,31.7,8.8,4.3,1.2,0.6,2.6,Jayson Tatum,
74,ALL,30.1,8.8,4.6,1.1,0.7,2.9,Jayson Tatum,BOS
38,Road,28.6,8.8,4.9,0.9,0.7,3.1,Jayson Tatum,
5,ALL,10.6,3,2,0.6,0.4,0.8,Jeenathan Williams,POR
25,ALL,2.4,0.9,1.2,0.4,0.1,0.2,Jeff Dowtin,TOR
31,Road,7.6,2.5,1.2,0.3,0.3,0.8,Jeff Green,
56,ALL,7.8,2.6,1.2,0.3,0.3,0.8,Jeff Green,DEN
25,Home,8,2.6,1.3,0.4,0.4,0.8,Jeff Green,
63,ALL,20.5,4.5,2.4,0.8,0.8,1.8,Jerami Grant,POR
30,Home,20,4.3,2,0.7,1,2,Jerami Grant,
33,Road,20.9,4.7,2.8,0.9,0.7,1.7,Jerami Grant,
24,Road,7.2,4.3,0.8,0.3,0.3,0.5,Jeremiah Robinson-Earl,
43,ALL,6.8,4.2,1,0.6,0.3,0.4,Jeremiah Robinson-Earl,OKC
19,Home,6.3,4.1,1.3,0.9,0.2,0.3,Jeremiah Robinson-Earl,
56,ALL,11,5.3,2.5,0.8,0.4,1.7,Jeremy Sochan,SAS
30,Home,11.1,5.3,2.3,0.8,0.2,1.5,Jeremy Sochan,
26,Road,10.8,5.2,2.8,0.7,0.6,2,Jeremy Sochan,
27,Road,4.5,5.6,0.5,0.4,0.6,0.6,Jericho Sims,
52,ALL,3.4,4.7,0.5,0.3,0.5,0.5,Jericho Sims,NYK
25,Home,2.3,3.7,0.4,0.2,0.5,0.4,Jericho Sims,
81,ALL,8,2.5,2.4,0.8,0.4,1,Jevon Carter,MIL
41,Home,6.2,2.7,2.2,0.8,0.3,0.9,Jevon Carter,
40,Road,9.9,2.3,2.7,0.8,0.4,1,Jevon Carter,
33,Home,24.2,6.4,5.4,1.8,0.4,1.2,Jimmy Butler,
31,Road,21.6,5.3,5.2,1.9,0.3,1.9,Jimmy Butler,
64,ALL,22.9,5.9,5.3,1.8,0.3,1.6,Jimmy Butler,MIA
69,ALL,6.6,4.1,1,0.2,0.4,0.9,Jock Landale,PHO
33,Home,6.4,3.5,1,0.2,0.4,1,Jock Landale,
36,Road,6.8,4.6,0.9,0.2,0.4,0.7,Jock Landale,
37,Road,6.4,2.1,1.4,0.3,0.1,0.5,Joe Harris,
74,ALL,7.6,2.2,1.4,0.5,0.2,0.6,Joe Harris,BRK
37,Home,8.8,2.3,1.4,0.6,0.2,0.6,Joe Harris,
22,Home,7.2,3,2.9,0.7,0.1,1.1,Joe Ingles,
46,ALL,6.9,2.8,3.3,0.7,0.1,1.2,Joe Ingles,MIL
24,Road,6.6,2.6,3.6,0.7,0.1,1.3,Joe Ingles,
9,ALL,1,0.4,0.3,0,0,0.1,Joe Wieskamp,TOR
30,Road,32.3,9.4,4.2,0.9,1.4,3.3,Joel Embiid,
66,ALL,33.1,10.2,4.2,1,1.7,3.4,Joel Embiid,PHI
36,Home,33.7,10.8,4.1,1.1,1.9,3.5,Joel Embiid,
19,ALL,2.4,0.9,0.6,0.4,0.5,0.1,John Butler Jr.,POR
10,Road,3.6,1.1,0.8,0.4,0.6,0.1,John Butler Jr.,
9,Home,1,0.7,0.3,0.3,0.3,0,John Butler Jr.,
37,Home,13.6,6.4,1.1,0.5,0.8,1.1,John Collins,
34,Road,12.5,6.7,1.3,0.6,1.3,1.1,John Collins,
71,ALL,13.1,6.5,1.2,0.6,1,1.1,John Collins,ATL
35,Home,5.2,4.2,1.1,0.9,0.4,0.6,John Konchar,
37,Road,4.9,4.4,1.6,1.2,0.3,0.4,John Konchar,
72,ALL,5.1,4.3,1.4,1.1,0.3,0.5,John Konchar,MEM
34,ALL,11.4,2.7,5.2,0.8,0.4,2.4,John Wall,LAC
28,ALL,5.8,2.3,1,0.4,0.3,0.6,Johnny Davis,WAS
18,Home,5.6,2.3,1,0.4,0.3,0.6,Johnny Davis,
10,Road,6.2,2.3,1,0.3,0.3,0.6,Johnny Davis,
8,Home,4.6,2.4,0.6,0.2,0.1,0.1,Johnny Juzang,
10,Road,5,2,0.3,0.2,0.2,0.2,Johnny Juzang,
18,ALL,4.8,2.2,0.4,0.2,0.2,0.2,Johnny Juzang,UTA
79,ALL,14.1,10.2,1.8,0.3,0.7,2,Jonas Valanciunas,NOP
40,Home,12.4,9.5,1.7,0.2,0.6,2.1,Jonas Valanciunas,
39,Road,15.8,10.9,1.9,0.3,0.7,1.9,Jonas Valanciunas,
7,Home,5.4,3.9,0.9,1.6,0.4,0.4,Jonathan Isaac,
11,ALL,5,4,0.5,1.3,0.4,0.4,Jonathan Isaac,ORL
4,Road,4.2,4.2,0,0.8,0.2,0.2,Jonathan Isaac,
67,ALL,9.9,3.4,1.9,0.6,0.5,1.4,Jonathan Kuminga,GSW
34,Home,8.9,3.3,1.6,0.6,0.4,1.5,Jonathan Kuminga,
33,Road,11,3.6,2.1,0.6,0.6,1.4,Jonathan Kuminga,
32,Home,21,4.4,4.2,0.5,0.1,3.2,Jordan Clarkson,
61,ALL,20.8,4,4.4,0.5,0.2,3,Jordan Clarkson,UTA
29,Road,20.6,3.6,4.7,0.6,0.3,2.9,Jordan Clarkson,
29,Road,6.9,3.4,2.8,1,0.4,0.7,Jordan Goodwin,
62,ALL,6.6,3.3,2.7,0.9,0.4,0.9,Jordan Goodwin,WAS
33,Home,6.2,3.2,2.6,0.8,0.4,1.1,Jordan Goodwin,
9,ALL,3.1,1.3,1.2,0.1,0,0.8,Jordan Hall,SAS
23,Road,3.6,1.4,3.7,0.8,0.1,0.7,Jordan McLaughlin,
43,ALL,3.7,1.4,3.4,0.7,0.1,0.8,Jordan McLaughlin,MIN
20,Home,3.9,1.4,3.2,0.6,0.1,0.8,Jordan McLaughlin,
62,ALL,8.7,3.7,1.4,0.4,0.2,1.1,Jordan Nwora,TOT
33,Home,7.9,3.5,1.3,0.3,0.2,1.1,Jordan Nwora,
29,Road,9.7,3.9,1.6,0.4,0.3,1,Jordan Nwora,
41,Road,19.8,2.4,4.4,0.8,0.2,3,Jordan Poole,
82,ALL,20.4,2.7,4.5,0.8,0.3,3.1,Jordan Poole,GSW
41,Home,21,3,4.6,0.8,0.3,3.1,Jordan Poole,
2,ALL,1.5,0,0.5,0.5,0,0,Jordan Schakel,WAS
61,ALL,9,2.3,3,1.1,0.2,1.3,Jose Alvarado,NOP
31,Home,10.1,2.4,2.9,1.3,0.2,1.3,Jose Alvarado,
30,Road,7.9,2.3,3.2,0.9,0.2,1.3,Jose Alvarado,
