GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm
42,ALL,6.9,6.3,6.1,1.3,0.6,2.3,Ben Simmons,BRK
24,Road,7.8,6,5.8,1.2,0.7,2.5,Ben Simmons,
38,Road,15.5,3.6,1.5,0.6,0.2,1.7,Bennedict Mathurin,
40,Home,17.8,4.5,1.4,0.6,0.2,2.2,Bennedict Mathurin,
78,ALL,16.7,4.1,1.5,0.6,0.2,1.9,Bennedict Mathurin,IND
33,Home,4.5,4.8,1,0.3,1.7,1,Bismack Biyombo,
61,ALL,4.3,4.3,0.9,0.3,1.4,0.8,Bismack Biyombo,PHO
28,Road,4,3.6,0.9,0.3,1.1,0.6,Bismack Biyombo,
41,ALL,4.1,3.8,1.5,0.3,0.2,0.5,Blake Griffin,BOS
18,Home,5.1,1.9,2.2,0.5,0.3,1.6,Blake Wesley,
37,ALL,5,2.2,2.7,0.7,0.1,1.8,Blake Wesley,SAS
19,Road,4.8,2.5,3.1,0.8,0,1.9,Blake Wesley,
31,ALL,3.3,1.9,0.3,0.2,0.1,0.5,Boban Marjanovic,HOU
19,Road,3.8,2.1,0.4,0.2,0.1,0.5,Boban Marjanovic,
12,Home,2.4,1.8,0.1,0.1,0,0.3,Boban Marjanovic,
36,Road,13.1,9.1,1.5,0.4,0.1,1.2,Bobby Portis,
34,Home,15.1,10.2,1.5,0.4,0.4,1.1,Bobby Portis,
70,ALL,14.1,9.6,1.5,0.4,0.2,1.2,Bobby Portis,MIL
54,ALL,14,3.1,2.8,0.8,0.3,1.2,Bogdan Bogdanovic,ATL
27,Road,15.1,3.7,3.2,0.9,0.3,1.4,Bogdan Bogdanovic,
27,Home,12.9,2.4,2.4,0.7,0.3,1,Bogdan Bogdanovic,
59,ALL,21.6,3.8,2.6,0.6,0.1,2.3,Bojan Bogdanovic,DET
30,Road,20.8,4.2,2.7,0.5,0.1,2.3,Bojan Bogdanovic,
29,Home,22.4,3.4,2.4,0.7,0.2,2.2,Bojan Bogdanovic,
70,ALL,9.1,5.8,1,0.4,1.2,1.6,Bol Bol,ORL
36,Road,8.6,5.7,0.8,0.4,1.2,1.6,Bol Bol,
34,Home,9.6,5.9,1.2,0.5,1.2,1.6,Bol Bol,
56,ALL,11.8,2.4,3.1,0.7,0.3,1.5,Bones Hyland,TOT
25,Road,12,2.7,3.1,0.7,0.3,1.4,Bones Hyland,
31,Home,11.6,2.2,3.1,0.7,0.3,1.5,Bones Hyland,
23,Home,22.4,3.8,5.6,1.1,0.8,3.1,Bradley Beal,
50,ALL,23.2,3.9,5.4,0.9,0.7,2.9,Bradley Beal,WAS
27,Road,23.9,4,5.3,0.7,0.5,2.7,Bradley Beal,
22,ALL,6.5,1.4,0.9,0.4,0,0.5,Brandon Boston Jr.,LAC
9,Road,7.7,1.8,1.4,0.4,0,0.9,Brandon Boston Jr.,
13,Home,5.7,1.1,0.5,0.4,0,0.3,Brandon Boston Jr.,
56,ALL,10,5.5,1.3,0.6,0.7,1,Brandon Clarke,MEM
27,Home,10.7,5.8,1.4,0.6,0.7,0.8,Brandon Clarke,
29,Road,9.3,5.3,1.1,0.6,0.6,1.1,Brandon Clarke,
22,Home,23.2,5,5.9,1,0.4,3.2,Brandon Ingram,
23,Road,26.2,5.9,5.8,0.5,0.4,3.4,Brandon Ingram,
45,ALL,24.7,5.5,5.8,0.7,0.4,3.3,Brandon Ingram,NOP
3,Road,1.3,0.3,0,0,0,0,Braxton Key,
3,ALL,1.3,0.3,0,0,0,0,Braxton Key,DET
39,Road,16.5,7,1.3,0.5,2.5,1.5,Brook Lopez,
39,Home,15.3,6.3,1.2,0.4,2.4,1.3,Brook Lopez,
78,ALL,15.9,6.7,1.3,0.5,2.5,1.4,Brook Lopez,MIL
80,ALL,11.5,4.1,3.4,1.1,0.6,1.5,Bruce Brown,DEN
41,Home,12.2,4.2,3.1,1.1,0.7,1.4,Bruce Brown,
39,Road,10.8,4,3.6,1.1,0.6,1.7,Bruce Brown,
15,Road,5.5,3.4,1.1,0.3,0.8,0.6,Bruno Fernando,
39,ALL,3.9,3.5,0.8,0.2,0.9,0.6,Bruno Fernando,TOT
24,Home,3,3.6,0.6,0.1,0.9,0.7,Bruno Fernando,
22,Road,5.4,1.8,1.4,0.4,0.1,0.7,Bryce McGowens,
46,ALL,5.3,2,1.2,0.3,0.1,0.9,Bryce McGowens,CHO
24,Home,5.3,2.2,1,0.3,0.1,1.1,Bryce McGowens,
25,ALL,3.6,0.6,0.7,0.3,0.1,0.5,Bryn Forbes,MIN
10,ALL,1.6,0.6,0.4,0.2,0,0,Buddy Boeheim,DET
80,ALL,16.8,5,2.8,1.2,0.3,1.7,Buddy Hield,IND
39,Home,17.5,4.9,2.3,1.2,0.4,1.7,Buddy Hield,
41,Road,16.1,5.1,3.3,1.1,0.2,1.8,Buddy Hield,
75,ALL,20.9,4.4,5.7,0.9,0.5,2.4,CJ McCollum,NOP
39,Home,21.6,4.5,6.1,1,0.4,2.3,CJ McCollum,
36,Road,20.2,4.2,5.3,0.9,0.6,2.6,CJ McCollum,
12,ALL,19.9,6.2,6,0.8,0.6,3.3,Cade Cunningham,DET
6,Road,16.2,5,4.5,1,0.3,3,Cade Cunningham,
6,Home,23.7,7.3,7.5,0.7,0.8,3.5,Cade Cunningham,
26,Home,4.4,2.3,0.7,0.2,0.2,0.4,Caleb Houstan,
25,Road,3.2,1.6,0.5,0.3,0.1,0.3,Caleb Houstan,
51,ALL,3.8,1.9,0.6,0.2,0.1,0.4,Caleb Houstan,ORL
35,Home,9.3,4.7,1.5,1,0.4,1,Caleb Martin,
36,Road,9.9,5,1.8,1,0.5,1.2,Caleb Martin,
71,ALL,9.6,4.8,1.6,1,0.4,1.1,Caleb Martin,MIA
19,Road,12.1,2.5,1.7,1.1,0.4,1.5,Cam Reddish,
40,ALL,9.7,2.2,1.4,1,0.4,1.2,Cam Reddish,TOT
21,Home,7.5,1.9,1.2,0.9,0.3,0.9,Cam Reddish,
30,Home,10.5,1.7,1.3,0.3,0.1,1.3,Cam Thomas,
27,Road,10.7,1.6,1.4,0.4,0.1,0.9,Cam Thomas,
57,ALL,10.6,1.7,1.4,0.4,0.1,1.1,Cam Thomas,BRK
42,ALL,15.5,4.4,1.9,1.2,0.3,0.9,Cameron Johnson,TOT
17,Road,16.3,4,1.8,1.1,0.2,1.1,Cameron Johnson,
25,Home,14.9,4.7,1.9,1.3,0.4,0.7,Cameron Johnson,
26,Road,9,2.1,4.2,0.4,0.1,1.8,Cameron Payne,
22,Home,11.8,2.4,4.8,1,0.2,1.6,Cameron Payne,
48,ALL,10.3,2.2,4.5,0.7,0.2,1.7,Cameron Payne,PHO
37,Home,11.2,3.6,3.8,0.9,0.5,1.5,Caris LeVert,
74,ALL,12.1,3.8,3.9,1,0.3,1.6,Caris LeVert,CLE
37,Road,13.1,4,4,1,0.2,1.6,Caris LeVert,
7,ALL,2.9,0.7,0.9,0.3,0,0.3,Carlik Jones,CHI
77,ALL,8.7,2.3,1.5,0.5,0.1,0.7,Cedi Osman,CLE
40,Home,10,2.5,1.6,0.5,0.2,0.6,Cedi Osman,
37,Road,7.3,2.1,1.4,0.4,0.1,0.8,Cedi Osman,
1,ALL,7,3,0,0,1,0,Chance Comanche,POR
16,Road,5.9,5.5,1.4,0.5,0.6,1.4,Charles Bassey,
35,ALL,5.7,5.5,1.3,0.5,0.9,1.2,Charles Bassey,SAS
19,Home,5.5,5.5,1.4,0.4,1.2,0.9,Charles Bassey,
2,ALL,1,1,0.5,0,0,1,Chima Moneke,SAC
29,Home,4.8,3.1,0.5,0.3,0.1,0.5,Chimezie Metu,
66,ALL,4.9,3,0.6,0.3,0.3,0.5,Chimezie Metu,SAC
37,Road,4.9,2.9,0.7,0.4,0.5,0.5,Chimezie Metu,
40,Home,9.2,5.9,0.4,0.8,0.9,0.6,Chris Boucher,
36,Road,9.5,5.2,0.4,0.5,0.8,0.5,Chris Boucher,
76,ALL,9.4,5.5,0.4,0.6,0.8,0.5,Chris Boucher,TOR
25,Road,9,2.4,1.3,0.6,0.2,1.1,Chris Duarte,
46,ALL,7.9,2.5,1.4,0.5,0.2,0.9,Chris Duarte,IND
21,Home,6.5,2.7,1.5,0.5,0.2,0.7,Chris Duarte,
29,Road,13.9,4.5,9.3,1.7,0.6,2,Chris Paul,
30,Home,13.9,4,8.5,1.4,0.2,1.8,Chris Paul,
59,ALL,13.9,4.3,8.9,1.5,0.4,1.9,Chris Paul,PHO
1,ALL,2,0,0,0,0,1,Chris Silva,DAL
