GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period
60,2022-23,3.8,1.6,1.3,0.2,0.2,0.5,Cole Anthony,4
67,2022-23,16.8,5.0,2.0,1.9,0.7,2.0,OG Anunoby,0
67,2022-23,4.3,1.2,0.6,0.6,0.3,0.6,OG Anunoby,1
67,2022-23,4.4,1.1,0.5,0.4,0.1,0.4,OG Anunoby,2
66,2022-23,4.6,1.4,0.4,0.6,0.2,0.5,OG Anunoby,3
61,2022-23,3.8,1.4,0.5,0.3,0.2,0.5,OG Anunoby,4
20,2022-23,1.3,0.8,1.2,0.2,0.0,0.4,Ryan Arcidiacono,0
6,2022-23,0.8,0.8,1.0,0.0,0.0,0.3,Ryan Arcidiacono,1
6,2022-23,1.0,0.3,1.0,0.3,0.0,0.3,Ryan Arcidiacono,2
6,2022-23,0.5,0.3,0.3,0.0,0.0,0.0,Ryan Arcidiacono,3
19,2022-23,0.6,0.3,0.5,0.2,0.0,0.2,Ryan Arcidiacono,4
76,2022-23,9.2,6.4,2.8,0.9,0.4,1.6,Deni Avdija,0
76,2022-23,2.7,1.7,0.7,0.2,0.1,0.3,Deni Avdija,1
75,2022-23,2.4,1.6,0.8,0.2,0.1,0.5,Deni Avdija,2
72,2022-23,2.3,1.7,0.9,0.3,0.1,0.5,Deni Avdija,3
62,2022-23,2.4,1.8,0.6,0.2,0.1,0.5,Deni Avdija,4
67,2022-23,18.0,10.0,1.7,0.6,0.8,1.8,Deandre Ayton,0
67,2022-23,5.3,2.9,0.5,0.1,0.1,0.4,Deandre Ayton,1
66,2022-23,4.6,2.4,0.4,0.1,0.2,0.5,Deandre Ayton,2
65,2022-23,5.2,2.9,0.5,0.2,0.3,0.5,Deandre Ayton,3
55,2022-23,3.5,2.2,0.4,0.2,0.2,0.3,Deandre Ayton,4
36,2022-23,3.5,3.3,0.3,0.2,0.4,0.5,Udoka Azubuike,0
19,2022-23,1.2,1.5,0.2,0.1,0.2,0.3,Udoka Azubuike,1
19,2022-23,1.9,1.7,0.1,0.0,0.2,0.2,Udoka Azubuike,2
16,2022-23,1.6,1.5,0.1,0.1,0.2,0.1,Udoka Azubuike,3
28,2022-23,1.5,1.2,0.2,0.1,0.2,0.3,Udoka Azubuike,4
42,2022-23,12.0,6.4,0.9,0.5,0.7,1.1,Marvin Bagley III,0
41,2022-23,3.8,1.6,0.3,0.1,0.2,0.3,Marvin Bagley III,1
41,2022-23,3.0,2.0,0.3,0.2,0.2,0.3,Marvin Bagley III,2
39,2022-23,3.7,1.9,0.3,0.2,0.2,0.3,Marvin Bagley III,3
32,2022-23,2.5,1.5,0.1,0.0,0.2,0.2,Marvin Bagley III,4
31,2022-23,3.9,1.3,0.4,0.2,0.1,0.4,Patrick Baldwin Jr.,0
3,2022-23,2.0,0.3,0.0,0.0,0.0,0.0,Patrick Baldwin Jr.,1
13,2022-23,2.6,1.2,0.0,0.0,0.2,0.4,Patrick Baldwin Jr.,2
6,2022-23,2.3,0.2,0.0,0.2,0.0,0.3,Patrick Baldwin Jr.,3
28,2022-23,2.4,0.8,0.4,0.2,0.1,0.1,Patrick Baldwin Jr.,4
36,2022-23,23.3,6.4,8.4,1.3,0.3,3.6,LaMelo Ball,0
36,2022-23,6.0,1.9,2.3,0.2,0.1,0.8,LaMelo Ball,1
36,2022-23,4.8,1.4,2.2,0.4,0.1,1.1,LaMelo Ball,2
36,2022-23,5.4,1.4,1.9,0.3,0.0,0.6,LaMelo Ball,3
34,2022-23,7.6,1.8,2.1,0.3,0.1,1.2,LaMelo Ball,4
49,2022-23,6.6,4.6,0.9,0.3,0.9,0.6,Mo Bamba,0
39,2022-23,2.5,1.1,0.2,0.1,0.2,0.2,Mo Bamba,1
43,2022-23,2.3,1.7,0.3,0.2,0.3,0.2,Mo Bamba,2
33,2022-23,1.6,1.3,0.3,0.0,0.3,0.2,Mo Bamba,3
33,2022-23,2.3,2.0,0.4,0.1,0.4,0.2,Mo Bamba,4
72,2022-23,20.0,6.9,3.7,0.8,0.5,2.8,Paolo Banchero,0
72,2022-23,5.4,2.2,1.3,0.2,0.2,0.8,Paolo Banchero,1
72,2022-23,4.5,1.2,0.8,0.2,0.1,0.6,Paolo Banchero,2
72,2022-23,5.9,2.1,1.1,0.2,0.2,1.0,Paolo Banchero,3
67,2022-23,4.3,1.4,0.6,0.2,0.1,0.4,Paolo Banchero,4
58,2022-23,21.5,5.0,4.4,1.0,0.4,2.2,Desmond Bane,0
58,2022-23,4.6,1.3,1.1,0.3,0.1,0.6,Desmond Bane,1
58,2022-23,5.2,1.1,1.3,0.2,0.1,0.4,Desmond Bane,2
58,2022-23,6.2,1.5,1.1,0.3,0.1,0.6,Desmond Bane,3
55,2022-23,5.6,1.2,1.0,0.2,0.0,0.6,Desmond Bane,4
31,2022-23,4.6,1.5,1.2,0.4,0.4,0.6,Dalano Banton,0
13,2022-23,1.6,0.5,0.2,0.2,0.2,0.5,Dalano Banton,1
20,2022-23,2.4,0.7,0.6,0.2,0.3,0.5,Dalano Banton,2
12,2022-23,1.2,0.2,0.3,0.2,0.2,0.0,Dalano Banton,3
22,2022-23,2.6,1.0,0.8,0.2,0.0,0.1,Dalano Banton,4
28,2022-23,3.9,3.6,0.9,0.4,0.7,0.5,Dominick Barlow,0
14,2022-23,0.9,1.5,0.4,0.0,0.4,0.1,Dominick Barlow,1
20,2022-23,1.4,1.2,0.1,0.2,0.4,0.4,Dominick Barlow,2
17,2022-23,0.9,1.4,0.2,0.1,0.2,0.1,Dominick Barlow,3
27,2022-23,2.0,1.2,0.5,0.1,0.1,0.1,Dominick Barlow,4
82,2022-23,15.0,4.5,1.6,0.7,0.1,1.0,Harrison Barnes,0
82,2022-23,4.4,1.3,0.5,0.3,0.0,0.3,Harrison Barnes,1
82,2022-23,3.8,1.0,0.4,0.2,0.0,0.3,Harrison Barnes,2
81,2022-23,4.0,1.1,0.4,0.1,0.0,0.2,Harrison Barnes,3
74,2022-23,3.0,1.2,0.2,0.1,0.0,0.2,Harrison Barnes,4
77,2022-23,15.3,6.6,4.8,1.1,0.8,2.0,Scottie Barnes,0
77,2022-23,4.1,1.9,1.4,0.4,0.2,0.5,Scottie Barnes,1
77,2022-23,3.1,1.3,1.1,0.2,0.1,0.5,Scottie Barnes,2
75,2022-23,3.4,1.8,1.1,0.3,0.2,0.5,Scottie Barnes,3
72,2022-23,5.1,1.8,1.2,0.2,0.3,0.5,Scottie Barnes,4
73,2022-23,19.6,5.0,2.8,0.4,0.2,2.2,RJ Barrett,0
73,2022-23,3.9,1.1,0.9,0.2,0.1,0.6,RJ Barrett,1
72,2022-23,5.6,1.3,0.7,0.1,0.0,0.6,RJ Barrett,2
72,2022-23,5.9,1.2,0.6,0.1,0.1,0.5,RJ Barrett,3
67,2022-23,4.5,1.4,0.6,0.0,0.1,0.6,RJ Barrett,4
35,2022-23,5.7,5.5,1.4,0.5,0.9,1.2,Charles Bassey,0
26,2022-23,1.9,2.0,0.8,0.2,0.2,0.4,Charles Bassey,1
27,2022-23,1.7,1.5,0.4,0.1,0.4,0.4,Charles Bassey,2
26,2022-23,1.7,1.7,0.3,0.2,0.4,0.4,Charles Bassey,3
31,2022-23,1.9,1.8,0.2,0.1,0.3,0.3,Charles Bassey,4
67,2022-23,9.7,3.7,1.5,0.7,0.3,0.8,Keita Bates-Diop,0
57,2022-23,2.8,1.1,0.5,0.3,0.1,0.2,Keita Bates-Diop,1
58,2022-23,2.6,1.0,0.4,0.2,0.1,0.3,Keita Bates-Diop,2
59,2022-23,3.4,1.4,0.4,0.1,0.2,0.3,Keita Bates-Diop,3
56,2022-23,2.4,0.6,0.5,0.2,0.0,0.2,Keita Bates-Diop,4
78,2022-23,6.1,3.8,1.6,0.7,0.6,0.6,Nicolas Batum,0
78,2022-23,1.0,1.0,0.4,0.2,0.1,0.1,Nicolas Batum,1
76,2022-23,2.0,1.1,0.6,0.2,0.2,0.2,Nicolas Batum,2
75,2022-23,1.5,0.9,0.3,0.2,0.1,0.2,Nicolas Batum,3
67,2022-23,1.9,1.0,0.3,0.1,0.3,0.1,Nicolas Batum,4
50,2022-23,23.2,3.9,5.4,0.9,0.7,2.9,Bradley Beal,0
50,2022-23,5.7,1.0,1.9,0.3,0.1,0.8,Bradley Beal,1
48,2022-23,4.7,0.9,1.1,0.3,0.2,0.7,Bradley Beal,2
48,2022-23,6.5,1.0,1.6,0.2,0.2,0.8,Bradley Beal,3
46,2022-23,7.4,1.1,1.0,0.2,0.2,0.7,Bradley Beal,4
81,2022-23,12.7,3.5,1.5,0.8,0.1,1.1,Malik Beasley,0
80,2022-23,3.5,0.7,0.5,0.2,0.0,0.2,Malik Beasley,1
81,2022-23,3.5,1.1,0.5,0.2,0.0,0.4,Malik Beasley,2
79,2022-23,3.0,0.8,0.2,0.2,0.0,0.3,Malik Beasley,3
75,2022-23,3.0,0.9,0.4,0.2,0.0,0.2,Malik Beasley,4
52,2022-23,5.1,2.2,0.7,0.4,0.1,0.9,MarJon Beauchamp,0
26,2022-23,1.5,0.9,0.5,0.2,0.0,0.4,MarJon Beauchamp,1
32,2022-23,1.9,0.8,0.3,0.2,0.1,0.2,MarJon Beauchamp,2
25,2022-23,2.1,0.8,0.2,0.1,0.0,0.3,MarJon Beauchamp,3
44,2022-23,2.6,1.0,0.2,0.2,0.0,0.5,MarJon Beauchamp,4
45,2022-23,4.6,1.2,0.5,0.2,0.2,0.2,Davis Bertans,0
20,2022-23,1.2,0.3,0.0,0.1,0.0,0.0,Davis Bertans,1
42,2022-23,2.7,0.6,0.2,0.1,0.1,0.1,Davis Bertans,2
17,2022-23,1.1,0.6,0.1,0.1,0.0,0.0,Davis Bertans,3
31,2022-23,1.7,0.4,0.3,0.1,0.1,0.2,Davis Bertans,4
67,2022-23,6.2,3.7,2.9,0.9,0.6,0.9,Patrick Beverley,0
67,2022-23,2.0,1.2,0.7,0.2,0.2,0.3,Patrick Beverley,1
67,2022-23,1.7,1.0,0.9,0.2,0.1,0.2,Patrick Beverley,2
66,2022-23,1.5,0.8,0.9,0.3,0.2,0.2,Patrick Beverley,3
56,2022-23,1.1,0.8,0.5,0.3,0.1,0.2,Patrick Beverley,4
77,2022-23,13.8,4.7,1.5,0.9,0.2,0.9,Saddiq Bey,0
77,2022-23,2.8,1.0,0.3,0.2,0.0,0.2,Saddiq Bey,1
77,2022-23,3.4,1.2,0.5,0.3,0.0,0.2,Saddiq Bey,2
76,2022-23,3.9,1.3,0.4,0.2,0.1,0.3,Saddiq Bey,3
72,2022-23,4.0,1.2,0.3,0.2,0.0,0.2,Saddiq Bey,4
38,2022-23,4.4,3.6,1.0,0.4,0.7,0.6,Goga Bitadze,0
19,2022-23,1.4,1.1,0.2,0.2,0.2,0.2,Goga Bitadze,1
25,2022-23,1.5,1.7,0.4,0.1,0.4,0.3,Goga Bitadze,2
23,2022-23,1.9,1.3,0.3,0.3,0.1,0.2,Goga Bitadze,3
31,2022-23,1.9,1.4,0.5,0.2,0.4,0.2,Goga Bitadze,4
61,2022-23,4.3,4.3,0.9,0.3,1.4,0.8,Bismack Biyombo,0
43,2022-23,1.6,1.4,0.3,0.0,0.5,0.2,Bismack Biyombo,1
48,2022-23,1.5,1.6,0.3,0.2,0.7,0.2,Bismack Biyombo,2
44,2022-23,1.1,1.3,0.4,0.0,0.2,0.4,Bismack Biyombo,3
45,2022-23,1.7,1.5,0.3,0.1,0.4,0.3,Bismack Biyombo,4
54,2022-23,14.0,3.1,2.8,0.8,0.3,1.2,Bogdan Bogdanovic,0
54,2022-23,3.1,0.8,0.6,0.2,0.1,0.3,Bogdan Bogdanovic,1
54,2022-23,3.6,0.8,1.0,0.2,0.1,0.3,Bogdan Bogdanovic,2
54,2022-23,3.0,0.6,0.5,0.1,0.0,0.4,Bogdan Bogdanovic,3
53,2022-23,4.3,0.8,0.6,0.3,0.1,0.3,Bogdan Bogdanovic,4
59,2022-23,21.6,3.8,2.6,0.6,0.1,2.3,Bojan Bogdanovic,0
59,2022-23,6.5,1.2,0.7,0.1,0.0,0.6,Bojan Bogdanovic,1
59,2022-23,4.4,0.9,0.5,0.1,0.1,0.5,Bojan Bogdanovic,2
59,2022-23,6.5,0.9,0.7,0.2,0.1,0.7,Bojan Bogdanovic,3
49,2022-23,4.7,0.9,0.7,0.2,0.0,0.5,Bojan Bogdanovic,4
70,2022-23,9.1,5.8,1.0,0.4,1.2,1.6,Bol Bol,0
60,2022-23,2.6,1.8,0.4,0.1,0.4,0.5,Bol Bol,1
70,2022-23,2.8,1.6,0.3,0.2,0.4,0.5,Bol Bol,2
56,2022-23,2.2,1.7,0.2,0.1,0.3,0.4,Bol Bol,3
57,2022-23,2.7,1.6,0.2,0.1,0.3,0.4,Bol Bol,4
53,2022-23,27.8,4.5,5.5,1.0,0.3,2.7,Devin Booker,0
53,2022-23,8.5,1.8,1.9,0.3,0.1,1.0,Devin Booker,1
52,2022-23,5.0,0.8,0.9,0.2,0.1,0.5,Devin Booker,2
52,2022-23,9.7,1.3,2.0,0.3,0.1,0.8,Devin Booker,3
46,2022-23,5.3,0.9,0.9,0.2,0.1,0.5,Devin Booker,4
22,2022-23,6.5,1.4,0.9,0.4,0.0,0.5,Brandon Boston Jr.,0
6,2022-23,0.7,0.3,0.0,0.2,0.0,0.2,Brandon Boston Jr.,1
10,2022-23,2.0,0.9,0.4,0.1,0.0,0.6,Brandon Boston Jr.,2
9,2022-23,2.0,0.4,0.2,0.1,0.0,0.0,Brandon Boston Jr.,3
21,2022-23,4.8,0.7,0.7,0.3,0.0,0.2,Brandon Boston Jr.,4
76,2022-23,9.4,5.5,0.4,0.6,0.8,0.5,Chris Boucher,0
72,2022-23,2.1,1.2,0.0,0.1,0.3,0.1,Chris Boucher,1
72,2022-23,3.3,1.7,0.2,0.2,0.2,0.1,Chris Boucher,2
70,2022-23,1.9,1.4,0.1,0.1,0.2,0.1,Chris Boucher,3
69,2022-23,2.8,1.6,0.1,0.3,0.3,0.2,Chris Boucher,4
34,2022-23,5.6,2.1,1.2,0.4,0.1,0.9,James Bouknight,0
22,2022-23,1.7,1.1,0.5,0.1,0.0,0.3,James Bouknight,1
26,2022-23,2.2,0.5,0.3,0.2,0.1,0.5,James Bouknight,2
23,2022-23,2.3,0.7,0.5,0.1,0.0,0.3,James Bouknight,3
25,2022-23,1.8,0.7,0.4,0.2,0.0,0.3,James Bouknight,4
66,2022-23,10.2,2.7,1.9,0.5,0.1,1.2,Malaki Branham,0
64,2022-23,3.0,0.7,0.6,0.2,0.0,0.2,Malaki Branham,1
63,2022-23,2.6,0.8,0.5,0.1,0.0,0.3,Malaki Branham,2
