Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
39,4,ALL,1.8,2.5,0.3,0.3,0.0,1.0,Alize Johnson,SAS,1628993.0,19.0,0.063,0.211,0.145,0.509,0.042
40,1,ALL,0.0,1.0,0.0,0.0,0.0,2.0,Alondes Williams,BRK,1631214.0,-53.0,0.0,0.25,0.143,0.0,0.0
43,75,ALL,14.8,9.0,3.9,0.9,0.9,2.6,Alperen Sengun,HOU,1630578.0,-7.8,0.107,0.204,0.211,0.599,0.199
41,36,Home,15.3,9.3,4.5,1.1,0.9,2.4,Alperen Sengun,,1630578.0,-2.2,0.095,0.194,0.203,0.593,0.207
42,39,Road,14.3,8.8,3.3,0.8,0.9,2.7,Alperen Sengun,,1630578.0,-13.9,0.12,0.216,0.22,0.605,0.19
45,50,ALL,3.4,1.1,1.1,0.1,0.1,0.4,Amir Coffey,LAC,1629599.0,-8.9,0.026,0.055,0.128,0.498,0.119
44,28,Home,2.8,0.9,0.7,0.1,0.1,0.4,Amir Coffey,,1629599.0,-6.8,0.036,0.048,0.123,0.504,0.088
46,22,Road,4.2,1.2,1.5,0.1,0.1,0.5,Amir Coffey,,1629599.0,-10.9,0.017,0.062,0.133,0.493,0.148
49,67,ALL,6.0,6.6,0.5,0.7,0.4,1.1,Andre Drummond,CHI,203083.0,2.6,0.16,0.353,0.196,0.606,0.057
47,34,Home,6.2,6.9,0.6,0.6,0.4,1.1,Andre Drummond,,203083.0,8.0,0.179,0.355,0.197,0.625,0.063
48,33,Road,5.7,6.3,0.4,0.8,0.4,1.1,Andre Drummond,,203083.0,-3.0,0.141,0.35,0.196,0.587,0.051
50,8,ALL,2.1,2.1,2.4,0.5,0.4,1.1,Andre Iguodala,GSW,2738.0,12.0,0.027,0.113,0.089,0.521,0.183
51,75,ALL,9.5,2.7,4.5,0.9,0.2,1.7,Andrew Nembhard,IND,1629614.0,-5.9,0.016,0.078,0.159,0.528,0.222
52,36,Home,8.7,2.6,4.6,1.0,0.1,1.6,Andrew Nembhard,,1629614.0,-2.6,0.014,0.078,0.143,0.537,0.214
53,39,Road,10.1,2.7,4.5,0.9,0.2,1.7,Andrew Nembhard,,1629614.0,-9.0,0.018,0.078,0.174,0.521,0.23
56,37,ALL,17.1,5.0,2.3,1.2,0.8,1.3,Andrew Wiggins,GSW,203952.0,5.2,0.05,0.101,0.212,0.564,0.1
54,19,Home,18.6,5.3,2.1,1.5,0.7,1.4,Andrew Wiggins,,203952.0,16.3,0.057,0.102,0.218,0.603,0.093
55,18,Road,15.6,4.7,2.5,0.9,0.8,1.2,Andrew Wiggins,,203952.0,-6.1,0.043,0.099,0.206,0.522,0.107
59,62,ALL,21.1,2.6,4.1,0.7,0.2,2.1,Anfernee Simons,POR,1629014.0,-1.6,0.008,0.067,0.247,0.581,0.186
57,34,Home,19.8,2.7,4.3,0.7,0.3,1.9,Anfernee Simons,,1629014.0,-0.1,0.01,0.068,0.233,0.585,0.186
58,28,Road,22.6,2.5,3.8,0.6,0.1,2.2,Anfernee Simons,,1629014.0,-3.3,0.007,0.064,0.264,0.577,0.184
60,56,ALL,25.9,12.5,2.6,1.1,2.0,2.2,Anthony Davis,LAL,203076.0,4.8,0.102,0.248,0.277,0.627,0.128
