,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,period,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
1112,65,2022-23,5.5,1.3,1.8,0.3,0,0.6,Jamal Murray,1,1627750,8.9,0.02,0.124,0.231,0.633,0.247
1113,65,2022-23,5,0.8,1.3,0.2,0.1,0.6,Jamal Murray,2,1627750,2.2,0.018,0.085,0.266,0.566,0.242
1114,64,2022-23,5.2,0.9,1.8,0.3,0.1,0.6,Jamal Murray,3,1627750,9.4,0.03,0.079,0.248,0.572,0.274
1115,56,2022-23,4.9,1.1,1.5,0.2,0.1,0.5,Jamal Murray,4,1627750,3.2,0.028,0.107,0.289,0.512,0.308
1116,80,2022-23,3.6,1.4,0.4,0.3,0.1,0.2,Keegan Murray,1,1631099,1.6,0.035,0.129,0.168,0.574,0.058
1117,79,2022-23,2.9,1.1,0.4,0.2,0.2,0.2,Keegan Murray,2,1631099,3.8,0.039,0.122,0.143,0.633,0.064
1118,79,2022-23,3.8,1.1,0.4,0.2,0.1,0.2,Keegan Murray,3,1631099,-0.9,0.034,0.109,0.174,0.633,0.058
1119,69,2022-23,2.2,1.2,0.2,0.2,0.1,0.2,Keegan Murray,4,1631099,2.2,0.05,0.134,0.134,0.531,0.03
1120,46,2022-23,2.2,1.1,0.2,0,0.1,0.1,Mike Muscala,1,203488,17.2,0.032,0.182,0.144,0.732,0.07
1121,52,2022-23,1.5,0.9,0.2,0.1,0.1,0.1,Mike Muscala,2,203488,10.4,0.05,0.138,0.155,0.511,0.064
1122,53,2022-23,2.5,1.2,0.2,0.1,0.1,0.1,Mike Muscala,3,203488,11.9,0.046,0.176,0.157,0.628,0.055
1123,49,2022-23,1.4,0.9,0.3,0.1,0.2,0.1,Mike Muscala,4,203488,-2.8,0.026,0.149,0.126,0.572,0.094
1124,11,2022-23,3.6,0.8,0.7,0.5,0.2,0.5,Svi Mykhailiuk,1,1629004,0.8,0.049,0.057,0.216,0.557,0.143
1125,15,2022-23,3.8,0.8,0.5,0.1,0,0.3,Svi Mykhailiuk,2,1629004,-12.5,0.036,0.075,0.194,0.614,0.093
1126,14,2022-23,2.6,1,1.1,0.1,0.1,0.5,Svi Mykhailiuk,3,1629004,5.9,0.043,0.098,0.183,0.501,0.214
1127,31,2022-23,2.9,0.6,0.7,0.2,0,0.2,Svi Mykhailiuk,4,1629004,6.6,0.017,0.079,0.181,0.619,0.198
1128,65,2022-23,1.5,1.2,0.5,0.2,0.1,0.2,Larry Nance Jr.,1,1626204,7.8,0.084,0.17,0.126,0.584,0.136
1129,64,2022-23,1.6,1.6,0.5,0.2,0.1,0.2,Larry Nance Jr.,2,1626204,6.3,0.073,0.204,0.099,0.639,0.105
1130,64,2022-23,1.4,1,0.5,0.2,0.1,0.2,Larry Nance Jr.,3,1626204,3.5,0.068,0.159,0.109,0.69,0.145
1131,53,2022-23,2.6,2,0.4,0.3,0.2,0.2,Larry Nance Jr.,4,1626204,9.2,0.103,0.202,0.137,0.685,0.086
